,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Eye_State
153,4401.5400390625,4090.260009765625,4267.18017578125,4156.41015625,4336.919921875,4586.14990234375,4053.330078125,4598.97021484375,4188.72021484375,4217.9501953125,4217.43994140625,4291.7900390625,4630.77001953125,4428.72021484375,1
154,4412.31005859375,4094.360107421875,4262.56005859375,4149.22998046875,4332.31005859375,4591.7900390625,4057.43994140625,4611.27978515625,4195.89990234375,4215.89990234375,4220.0,4292.81982421875,4638.4599609375,4437.43994140625,1
155,4416.919921875,4106.669921875,4261.02978515625,4153.330078125,4334.8701171875,4589.22998046875,4062.56005859375,4604.6201171875,4180.0,4207.18017578125,4219.490234375,4292.81982421875,4643.080078125,4442.0498046875,1
156,4430.259765625,4123.080078125,4268.2099609375,4156.919921875,4336.919921875,4592.31005859375,4069.739990234375,4592.81982421875,4172.81982421875,4203.080078125,4217.9501953125,4298.97021484375,4642.0498046875,4452.31005859375,1
157,4447.18017578125,4124.6201171875,4277.43994140625,4154.35986328125,4331.27978515625,4597.43994140625,4073.330078125,4597.9501953125,4183.080078125,4209.22998046875,4220.509765625,4307.18017578125,4649.22998046875,4467.68994140625,1
158,4454.35986328125,4124.10009765625,4280.509765625,4160.0,4328.72021484375,4590.259765625,4067.179931640625,4600.0,4181.02978515625,4209.740234375,4225.64013671875,4309.740234375,4659.490234375,4477.9501953125,1
159,4458.4599609375,4138.97021484375,4282.0498046875,4168.72021484375,4330.77001953125,4583.58984375,4062.56005859375,4597.9501953125,4182.0498046875,4208.72021484375,4232.31005859375,4312.81982421875,4668.2099609375,4481.02978515625,1
160,4472.31005859375,4154.8701171875,4291.7900390625,4174.8701171875,4336.919921875,4587.68994140625,4070.260009765625,4611.27978515625,4202.0498046875,4225.1298828125,4245.1298828125,4322.0498046875,4681.5400390625,4491.7900390625,1
161,4480.0,4156.919921875,4297.43994140625,4182.56005859375,4341.02978515625,4589.740234375,4073.85009765625,4623.080078125,4209.740234375,4240.0,4258.97021484375,4329.740234375,4695.89990234375,4502.0498046875,1
162,4474.8701171875,4152.81982421875,4291.7900390625,4185.64013671875,4340.0,4587.18017578125,4068.719970703125,4618.97021484375,4204.10009765625,4235.89990234375,4259.490234375,4330.259765625,4700.509765625,4501.02978515625,1
163,4477.43994140625,4155.3798828125,4294.35986328125,4184.6201171875,4341.02978515625,4587.18017578125,4070.260009765625,4613.330078125,4198.4599609375,4229.740234375,4254.8701171875,4331.7900390625,4697.43994140625,4500.0,1
164,4484.6201171875,4155.89990234375,4298.4599609375,4182.0498046875,4341.5400390625,4589.740234375,4076.409912109375,4603.58984375,4186.669921875,4230.259765625,4257.43994140625,4335.3798828125,4700.509765625,4505.1298828125,1
165,4483.58984375,4150.77001953125,4294.35986328125,4176.919921875,4342.56005859375,4593.330078125,4073.85009765625,4593.330078125,4183.080078125,4232.81982421875,4264.6201171875,4335.89990234375,4714.8701171875,4514.35986328125,1
166,4487.68994140625,4153.330078125,4298.97021484375,4178.97021484375,4348.72021484375,4599.490234375,4069.739990234375,4591.27978515625,4185.1298828125,4234.8701171875,4268.72021484375,4337.9501953125,4728.2099609375,4521.5400390625,1
167,4490.77001953125,4153.85009765625,4309.740234375,4182.0498046875,4347.68994140625,4600.0,4071.280029296875,4589.22998046875,4176.41015625,4233.330078125,4269.22998046875,4340.0,4729.22998046875,4518.97021484375,1
168,4481.5400390625,4140.509765625,4309.740234375,4174.8701171875,4336.41015625,4590.77001953125,4070.77001953125,4584.6201171875,4173.330078125,4230.77001953125,4273.330078125,4341.5400390625,4731.27978515625,4520.509765625,1
